Park,Type,Year,Cost
ever,rx,2013,120726.03
ever,rx,2014,77395.65
ever,rx,2015,193662.63
ever,rx,2016,204131.83
ever,rx,2017,204261.58
ever,rx,2018,155128.97
ever,wf,2013,14263.45
ever,wf,2014,39898.74
ever,wf,2015,92085.41
ever,wf,2016,861737.90
ever,wf,2017,227171.29
ever,wf,2018,332350.89
bicy,rx,2013,161944.76
bicy,rx,2014,117380.21
bicy,rx,2015,162778.24
bicy,rx,2016,174811.54
bicy,rx,2017,137832.01
bicy,rx,2018,100000.00
bicy,wf,2013,525246.32
bicy,wf,2014,768160.47
bicy,wf,2015,1107300.48
bicy,wf,2016,133973.65
bicy,wf,2017,2663595.42
bicy,wf,2018,943865.71
